k,lamda,gamma,tau,train_rmse,val_rmse,overfitting
10,0.1,0.01,1.0,0.7071597339907898,0.7812791712687347,0.0741194372779449
10,0.1,0.1,1.0,0.7087038223716182,0.7813740690714087,0.0726702466997905
20,0.1,0.01,1.0,0.6558286734845421,0.7828140201033149,0.1269853466187728
20,0.1,0.1,1.0,0.6571166064698295,0.7831038838510255,0.12598727738119597
10,1.0,0.1,1.0,0.6911358151570963,0.7930732046718385,0.10193738951474218
10,0.1,0.01,0.1,0.6914189635656134,0.7937849855675835,0.10236602200197009
10,1.0,0.01,1.0,0.6912928596734003,0.7939175610902084,0.10262470141680813
10,0.1,0.1,0.1,0.6943291312733938,0.7956234598833818,0.101294328609988
10,0.1,0.01,0.01,0.6868401945437801,0.8118350618535504,0.12499486730977027
10,1.0,0.1,0.1,0.6869645491523143,0.8119164775040162,0.12495192835170188
10,10.0,0.1,1.0,0.6866274323511351,0.8121472650434061,0.12551983269227096
10,10.0,0.01,1.0,0.6872638063349125,0.8130338890796851,0.12577008274477264
10,1.0,0.01,0.1,0.6873052214598534,0.8136472252342256,0.1263420037743722
20,1.0,0.1,1.0,0.6288110213570098,0.817907944637622,0.18909692328061212
20,0.1,0.01,0.1,0.6288066772260409,0.8183419725776528,0.18953529535161195
20,1.0,0.01,1.0,0.6291448852538432,0.8189678054644299,0.18982292021058678
10,0.1,0.1,0.01,0.6929807632744754,0.8199960470707371,0.1270152837962617
20,0.1,0.1,0.1,0.632284014423938,0.8253981805438408,0.19311416611990284
10,1.0,0.01,0.01,0.6874186920077314,0.844602904788776,0.15718421278104455
10,10.0,0.1,0.1,0.6875962899713235,0.8446303032916246,0.1570340133203011
10,10.0,0.01,0.1,0.6872761755566033,0.8458074120350022,0.15853123647839895
10,1.0,0.1,0.01,0.6876642944087831,0.8479727593382597,0.1603084649294766
20,10.0,0.01,1.0,0.6222652259139602,0.8634785801059974,0.24121335419203727
20,0.1,0.01,0.01,0.623166470190216,0.864776270159728,0.24160979996951204
20,1.0,0.1,0.1,0.6232975381985233,0.8653198521185549,0.2420223139200316
20,10.0,0.1,1.0,0.6232377558757994,0.865743004032597,0.24250524815679753
20,1.0,0.01,0.1,0.6230753923304925,0.8659654352671103,0.24289004293661787
20,0.1,0.1,0.01,0.627381353825542,0.8867597701351675,0.25937841630962544
10,10.0,0.01,0.01,0.6876056597804673,0.9119729392691953,0.22436727948872803
10,10.0,0.1,0.01,0.6883881326254525,0.9214627830257793,0.23307465040032682
20,10.0,0.01,0.1,0.6242272806422569,0.9566564147303409,0.33242913408808406
20,10.0,0.1,0.1,0.6241112114379256,0.9567037494502719,0.33259253801234634
20,1.0,0.01,0.01,0.624072039807071,0.9580573030641333,0.33398526325706224
20,1.0,0.1,0.01,0.6242548305324643,0.9590133377003593,0.334758507167895
20,10.0,0.1,0.01,0.6291035559267787,1.1641671979193435,0.5350636419925648
20,10.0,0.01,0.01,0.6293913935919557,1.1902107318645525,0.5608193382725968
